Irajá,-22.8311111,-43.3236111,AP3
Itanhangá,-22.9869444,-43.30500000000001,AP4
Jardim Botânico,-22.9666667,-43.2166667,AP2
Jardim Carioca,-22.8,-43.2,AP3
Jardim Guanabara,-22.8116667,-43.2036111,AP3
Jardim Sulacap,-22.8958865,-43.3921967,AP3
Lagoa,-22.97633,-43.20966,AP2
Lapa,-22.912809,-43.179446,AP1
Laranjeiras,-22.9378,-43.1910,AP2
Leme,-22.9622222,-43.1666667,AP2
Magalhães Bastos,-22.871868,-43.4138928,AP5
Meier,-22.9,-43.2833333,AP3
Olaria,-22.8488889,-43.26666669999999,AP3
Oswaldo Cruz,-22.8740377,-43.3511894,AP3
Paciência,-22.89914,-43.632318,AP5
Pechincha,-22.9295821,-43.35601550000001,AP4
Pilares,-22.8776825,-43.2980711,AP3
Praça da Bandeira,-22.9102021,-43.2122385,AP2
Quintino Bocaiuva,-22.8833333,-43.3166667,AP3
Realengo,-22.8833333,-43.4333333,AP5
Rio Comprido,-22.9261203,-43.2110285,AP1
Rocinha,-22.9886111,-43.2466667,AP2
Santa Cruz,-22.9202778,-43.685,AP5
Santa Teresa,-22.9452106,-43.2110285,AP1
Sepetiba,-22.966667,-43.7,AP5
São Francisco Xavier,-22.9033333,-43.2433333,AP3
Taquara,-22.9222222,-43.3880556,AP4
Tijuca,-22.9306453,-43.2400595,AP2
Tomás Coelho,-22.8688697,-43.3065255,AP3
Vargem Grande,-22.9761111,-43.4941667,AP4
Vila da Penha,-22.8441891,-43.3125635,AP3
Vista Alegre,-22.8308333,-43.31611110000001,AP3
Santo Cristo,-22.9008333,-43.205,AP1
Santíssimo,-22.883333,-43.516667,AP5
Saúde,-22.8976866,-43.1856126,AP1
Senador Camará,-22.8666667,-43.5,AP5
São Conrado,-23,-43.26666669999999,AP2
São Cristovão,-22.9,-43.2222,AP1
Tanque,-22.9161111,-43.3558333,AP4
Tauá,-22.7975,-43.18555560000001,AP3
Todos os Santos,-22.8952778,-43.285,AP3
Urca,-22.9547694,-43.16655830000001,AP2
Vargem Pequena,-22.9805556,-43.4636111,AP4
Vidigal,-22.993663,-43.242486,AP2
Vila Isabel,-22.9166667,-43.25,AP2
Vila Cosmos,-22.8536111,-43.3036111,AP3
Vila Valqueire,-22.8833333,-43.3666667,AP4
Váz Lobo,-22.8583656,-43.3270517,AP3

